PR,BOI,2GO,ABAIR,Philippines
2T,TBS,Timbis Air,TIMBIS,Kenya
Q5,MLA,40-Mile Air,MILE-AIR,United States
4D,ASD,Air Sinai,AIR SINAI,Egypt
4R,SEK,Star East Airline [de; fa; it; pl],EAST RIDER,Romania
4O,MNE,Air Montenegro,MOUNT EAGLE,Montenegro
5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
7B,UBE,Bees Airline,FLOWER BEE,Ukraine
AQ,JYH,9 Air,TRANS JADE,China
BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil
RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
W9,AAB,Abelag Aviation,ABG,Belgium
M3,TUS,ABSA Cargo,Turismo,Brazil
GB,ABX,ABX Air,ABEX,United States
ZA,CYD,AccessAir,CYCLONE,United States
VX,AES,ACES Colombia,ACES,Colombia
KI,DHI,Adam Air,ADAM SKY,Indonesia
Z7*,ADK,ADC Airlines,ADCO,Nigeria
JP,ADR,Adria Airways,ADRIA,Slovenia
AN,WSN,Advanced Air,WINGSPAN,United States
A3,AEE,Aegean Airlines,AEGEAN,Greece
9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
ML,AEK,Aero Costa Rica,ACORISA,Costa Rica
VF,TKJ,AJet,ANATOLIAN,Turkey
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
SU,AFL,Aeroflot,AEROFLOT,Russia
P3,PLS,Aeroflot-Plus,AEROPLUS,Russia
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
SM,AAW,Allied Airways,nan,United Kingdom
KJ,AAZ,Asian Air,nan,Kyrgyzstan
YE,ACQ,Aryan Cargo Express,nan,India
VJ,AFF,Africa Airways,AFRIWAYS,Benin
QH,FLA,Air Florida,PALM,United States
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
HD,ADO,AIRDO,AIR DO,Japan
UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
A2,AWG,Animawings,ANIMA WINGS,Romania
X9,NVD,Avion Express,NORDVIND,Lithuania
3S*,AEN,Aeroland Airways,AEROLAND,Greece
JU,ASL,Air Serbia,AIR SERBIA,Serbia
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
XK,CCM,Air Corsica,CORSICA,France
EI,EIN,Aer Lingus,SHAMROCK,Ireland
EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom
A8,XAU,Aerolink Uganda,PEARL,Uganda
RV,ROU,Air Canada Rouge,ROUGE,Canada
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
6U,ACX,Air Cargo Germany,LOADMASTER,Germany
ZI,AAF,Aigle Azur,AIGLE AZUR,France
AE,AE,Air Ceylon,CEYLON,Sri Lanka
4K*,AAS,Askari Aviation,AL-ASS,Pakistan
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
QB,AAJ,Air Alma,AIR ALMA,Canada
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand
UX,AEA,Air Europa,EUROPA,Spain
IG,AEY,Air Italy,AIR ITALY,Italy
NX,AMU,Air Macau,AIR MACAO,Macao
6A,AMW,Armenia Airways,ARMENIA,Armenia
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
